id,text
1992260201337262191,"@Jonathan_Blow @ThePrimeagen @ChrisRozenbachs It'd be interesting if assert had a more hierarchical approach like type/invariant gates in JIT, where if the invariant for a type specialization for ex. is not met, you're kicked back to interpreted mode. You throw an assert &amp; catch it up the call stack. What should we call it🤔"
1992298592024039566,"RT @thdxr: it's so embarrassing when software engineers act like someone is getting unpaid labor out of them

""this company interviewed me…"
1992307068750200928,"When you're trying to solve a bug, and the process is slow and takes a long time, often it's because you're confused, and some thing that you thought was true was actually not true, and it can take a long time to figure that out. Assertions reduce this kind of situation drastically, both in the evolution of the code (because things you thought were true, but weren't, get weeded out and fixed early) and during the debugging session (you can look at asserts and see textual reminders of what is known to be true right now)."
1992328314380578935,"@nonlinear_james @ThePrimeagen Somehow, File Pilot does more and is tremendously faster."
1992382728617222242,"RT @oxcrowx: &gt; Dragon book

How you know someone does not develop compilers."
1992562332409466908,"If I had $100,000 to invest in my health, I'd buy these:

- Sauna
- Hot tub
- Home gym
- Air purifier
- Meal prep
- Cold plunge
- Health coach
- Water flosser
- Standing desk
- Under desk treadmill
- Functional blood work
- Red light therapy lamp
- Incandescent light bulbs
- Reverse osmosis water filter
- Great mattress and bedding
- Membership at the best gym in the area

What about you?"
1992674546286301350,@FitFounder Water flosser does not actually floss. It is kind of a scam.
1992689004580598019,"RT @slimjimmy_dev: someone got me this mug as a cute gift

but it just makes me angry https://t.co/iOCAybOZA1"
1992701731684376718,Landmark has 100k viewers for a regular Tarkov stream; Peanut had 100k during the Bungulator War last night. Is Twitch coming back??
1992702385542791483,@Jonathan_Blow Never underestimate the power of drops
1992702393512071360,"@unit_accord @ThePrimeagen @ChrisRozenbachs No, asserts are not catchable exceptions, that is the whole point."
1992707062657351770,@Soviet666 Need to figure out how to do drops in our next game...
1992816120122966350,"I wonder, for how long are we going to keep seeing Bungulators in Arc Raiders..."
